KDOE_LELANG,NAMA_PAKET,SATKER,KUALIFIKASI,METODE,EVALUASI,JENIS,TAHUN,IS_GAGAL,HPS
24300066,PEMBANGUNAN COMMUNITY CENTER KEL. PERIUK ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,463200000
24296066,PEMATANGAN LAHAN RUSUNAWA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,2200000000
24295066,PENINGKATAN JALAN JUANDA,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,16400000000
24290066,PEMBANGUNAN RSUD JURUMUDI BARU ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,20000000000
24278066,BELANJA ALAT/BAHAN UNTUK KEGIATAN KANTOR -  BAHAN CETAK,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,490500000
24274066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 09 KEL. GEMBOR ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,462000000
24273066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 02 KEL. KEDAUNG WETAN ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,302400000
24272066,",PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 13 KEL. UWUNG JAYA ",PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,245000000
24271066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 02 KEL. CIBODAS BARU ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,316900000
24270066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 08 KEL. CIBODAS ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,549000000
24269066,PEMBANGUNAN SALURAN DRAINASE GORONG-GORONG SODETAN JL.UTAMA CILEDUG INDAH 2 KEL. PEDURENAN ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,435900000
24268066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG KOMPLEK BARATA RW. 07 KEL. KARANG TENGAH ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,407300000
24267066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG PERUMAHAN CILEDUG INDAH 1 RW. 06 KEL. PEDURENAN ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,263400000
24266066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 11 KEL. GEMBOR ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,269500000
24265066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 11 KEL. GEBANG RAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,313400000
24264066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 07 KEL. PERIUK JAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,320300000
24263066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 07 KEL. GEBANG RAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,355300000
24261066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 09 KEL. CIPONDOH ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,394300000
24260066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 05 KEL. KETAPANG ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,522000000
24259066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 04 KEL. KETAPANG ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,244700000
24258066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG JL. KH. AMSIR RW. 04 KEL. KENANGA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,332500000
24257066,PEMBANGUNAN TROTOAR JL. MARSEKAL SURYADARMA (BAMBU OJU - SIMPANG 7) ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1300000000
24256066,PENINGKATAN TROTOAR JALAN PERINTIS KEMERDEKAAN (TAMAN GAJAH - BINTANG) ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,920300000
24255066,PENINGKATAN JALAN GARUDA KEC. BATU CEPER (LANJUTAN) ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,546900000
24254066,PENGGANTIAN JEMBATAN KALI LEDUG PURATI ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,2500000000
24253066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 03 KEL. PORIS JAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,239200000
24252066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 06 KEL. ALAM JAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,679700000
24251066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 02 DAN RW. 03 KEL. KOANG JAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,277000000
24250066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 02 KEL. TAJUR ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,497200000
24249066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG JL. SEKTOR RAYA KEL. SUDIMARA JAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,619500000
24248066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 06 KEL. PINANG ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,568000000
24247066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 05 KEL. PINANG ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,479600000
24246066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 05 KEL. NEROKTOG ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,526100000
24245066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 01 KEL. NEROKTOG ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,709400000
24244066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 07 KEL. CIPADU JAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,318900000
24243066,PEMBANGUNAN SALURAN DRAINASE/GORONG-GORONG RW. 04 KEL. LARANGAN UTARA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,267700000
24242066,PEMBANGUNAN SALURAN DRAINASE / GORONG GORONG KEL. PORIS GAGA KEC. BATUCEPER ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,2900000000
24240066,REHABILITASI TURAP PURI KARTIKA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,343400000
24237066,REHABILITASI TURAP PINANG GRIYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1000000000
24234066,REHABILITASI TURAP PETIR ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,472600000
24231066,REHABILITASI TURAP PEDURENAN ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,291700000
24229066,REHABILITASI TURAP LARANGAN SELATAN ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,757500000
24226066,REHABILITASI TURAP KEC. KARANG TENGAH ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,371600000
24223066,REHABILITASI TURAP KALI CANTIGA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,551900000
24220066,REHABILITASI TURAP JATAKE ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,588300000
24217066,REHABILITASI S.P KELURAHAN GEMBOR ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,277700000
24212066,PEMBANGUNAN TURAP S.P. KERONCONG ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,288900000
24209066,PEMBANGUNAN TURAP S.P. KEHAKIMAN ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,388800000
24206066,PEMBANGUNAN TURAP PORIS TENGAH ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,481400000
24203066,PEMBANGUNAN TURAP KELURAHAN TAJUR ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1500000000
24200066,PEMBANGUNAN TURAP KELURAHAN PORIS PLAWAD DAN PLAWAD UTARA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,389100000
24198066,PEMBANGUNAN TURAP KALI WADAS ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,481000000
24195066,PEMBANGUNAN SISTEM PENGENDALIAN BANJIR EMBUNG GARDEN CITY ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,588200000
24193066,PEMBANGUNAN SISTEM PENGENDALIAN BANJIR TAMAN CIPULIR ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,2700000000
24190066,PEMBANGUNAN SISTEM PENGENDALIAN BANJIR PERUMAHAN PONDOK LAKAH PERMAI ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,259000000
24189066,REHABILITASI TURAP TAMAN ELANG ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,836900000
24185066,PEMBANGUNAN SISTEM PENGENDALIAN BANJIR KELURAHAN PANUNGGANGAN UTARA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,429500000
24184066,PEMBANGUNAN SISTEM PENGENDALIAN BANJIR KELURAHAN GEBANG RAYA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,636800000
24181066,PENATAAN TAMAN DI JL. KARANG RAYA KEC. KARAWACI ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,1,699800000
24180066,PEMBUATAN DAN PEMASANGAN BIOPORI SUPER JUMBO,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,942200000
24178066,PERALATAN DAN PERLENGKAPAN PORPROV 2022 - BELA DIRI,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,11000000000
24177066,BELANJA BAHAN BAKU MARKA FASILITAS PERLENGKAPAN JALAN ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,374700000
24176066,PERALATAN DAN PERLENGKAPAN PORPROV 2022 - PERMAINAN ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,1,4900000000
24175066,PERALATAN DAN PERLENGKAPAN PORPROV 2022 - TERUKUR ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,1,16000000000
24174066,PERALATAN DAN PERLENGKAPAN PORPROV 2022 - KONSENTRASI,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,4900000000
24173066,PENGADAAN OBAT NON E-KATALOG,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,840600000
24171066,PEMBANGUNAN/REVITALISASI PASAR RAKYAT,KEMENTERIAN PERDAGANGAN,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,2800000000
24170066,BELANJA PAKAIAN DINAS LAPANGAN (PDL) ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,347300000
24164066,"BELANJA MODAL RAMBU-RAMBU LALU LINTAS DARAT LAINNYA (ANGKUR TIANG, CERMIN TIKUNG, DAN RAMBU LALU LINTAS) ",PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,258700000
24153066,PEMELIHARAAN/REHABILITASI GAPURA/DEKORASI BATAS KOTA JL. PRABU SILIWANGI,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,657300000
24152066,PEMELIHARAAN/REHABILITASI GAPURA/DEKORASI BATAS KOTA JL. HOS COKROAMINOTO,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1200000000
24150066,PEMELIHARAAN/REHABILITASI GAPURA/DEKORASI BATAS KOTA JL. MH THAMRIN (LANJUTAN),PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1300000000
24147066,PENGGANTIAN JEMBATAN JL. RAYA AMD (DEPAN KANTOR JAWA POS),PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,2500000000
24146066,BELANJA BAHAN PEMBINAAN SARANA PRASARANA KEBERSIHAN UNTUK PROGRAM KAMPUNG IKLIM DAN SEKOLAH ADIWIYATA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,1,523100000
24145066,EVALUASI LOKASI/KAWASAN DAERAH RAWAN MACET,PEMERINTAH DAERAH KOTA TANGERANG,PRAKUALIFIKASI DUA FILE,SELEKSI,KUALITAS DAN BIAYA,JASA KONSULTANSI BADAN USAHA NON KONSTRUKSI,2022,0,152000000
24144066,U-TURN JALAN MAULANA HASANUDIN (PERUMAHAN GARUDA CIPONDOH PERMAI),PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,5900000000
24143066,REHABILITASI SEDANG/BERAT GEDUNG PUSPEM ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,650000000
24142066,PEMBANGUNAN U TURN MAULANA HASANUDIN (PORIS/CIPONDOH MAKMUR),PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,4600000000
24141066,PENGGANTIAN JEMBATAN JL. UTAMA RADEN KASMAN (DEPAN PT. OPPO),PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,849900000
24137066,PAVING BLOCK,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,100000
24136066,LANJUTAN PERBAIKAN GOR A. DAMYATI,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,822500000
24134066,PEMBANGUNAN GOR KERONCONG,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1900000000
24133066,PEMBANGUNAN GOR PANINGGILAN UTARA,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1500000000
24132066,PEMUTAKHIRAN PETA DAN EVALUASI PENGGUNAAN LAHAN TAHUN 2022,PEMERINTAH DAERAH KOTA TANGERANG,PRAKUALIFIKASI DUA FILE,SELEKSI,KUALITAS DAN BIAYA,JASA KONSULTANSI BADAN USAHA NON KONSTRUKSI,2022,0,195100000
24130066,PEMBANGUNAN GEDUNG MUI KEC. CILEDUG,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1000000000
24129066,PEMBANGUNAN GEDUNG MUI KEC. KARANG TENGAH,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,1000000000
